name,sinta_id,dept,sinta_score,sinta_3yr_score,affil_score,affil_3yr_score,scopus_h_index,gs_h_index,wos_h_index,scopus_i10_index,gs_i10_index,wos_i10_index,scopus_g_index,gs_g_index,wos_g_index,scopus_article,scopus_citation,scopus_cited_document,gs_article,gs_citation,gs_cited_document,wos_article,wos_citation,wos_cited_document
ELAH NURLAELAH,6665327,S2 - Pendidikan Matematika,829,532,0,0,4,11,3,0,12,0,2,1,2,25,42,16,89,377,60,18,17,9
SUFYANI PRABAWANTO,5995121,S2 - Pendidikan Matematika,1.922,1.437,0,0,6,14,,3,24,,1,1,,85,165,47,168,941,113,0,0,0
EENG AHMAN,5991829,S3 - Manajemen,818,538,0,0,6,15,0,1,24,0,1,1,0,24,67,14,135,775,66,0,0,0
JARNAWI AFGANI DAHLAN,5974544,S3 - Pendidikan Matematika,1.509,796,0,0,5,23,,2,47,,1,1,,46,148,34,156,1878,115,0,0,0
TOPIK HIDAYAT,256954,S1 - Biologi,1.829,796,0,0,7,14,0,5,20,0,1,1,0,56,289,35,176,883,101,0,0,0
ERI KURNIAWAN,5994389,S2 - Linguistik,960,536,0,0,3,11,,0,11,,1,1,,25,34,13,125,360,57,0,0,0
LUTFI NUR,5977298,S1 - Desain Produk Industri Kampus Tasikmalaya,749,546,0,0,4,10,0,0,10,0,1,1,1,16,37,8,114,342,56,2,0,0
HELI SITI HALIMATUL MUNAWAROH,5978104,S2 - Kimia,1.343,806,0,0,14,15,0,19,22,0,1,21,0,54,621,38,58,771,39,0,0,0
PARSAORAN SIAHAAN,6088571,S2 - Pendidikan Ilmu Pengetahuan Alam,1.647,807,0,0,6,13,0,4,24,0,1,1,0,46,118,27,161,1227,106,1,0,0
AMIR MACHMUD,5974528,S2 - Pendidikan Ekonomi,765,541,0,0,6,15,0,3,26,0,2,1,0,17,65,13,95,1345,62,0,0,0
AHMAD AMINUDIN,6002113,S1 - Fisika,975,528,0,0,5,7,2,1,4,0,1,1,1,28,47,16,73,123,31,12,8,5
EKA CAHYA PRIMA,5977482,S1 - Pendidikan IPA,1.949,774,0,0,10,15,7,11,19,5,4,1,3,44,276,26,77,729,49,20,126,15
FITRI KHOERUNNISA,258263,S1 - Kimia,1.920,831,0,0,12,14,,13,17,,1,2,,74,500,51,92,653,60,0,0,0
ANDRIA PRAGHOLAPATI,6774276,D3 - Keperawatan,717,554,0,0,0,13,0,0,16,0,1,1,0,2,0,0,93,785,55,0,0,0
"Prof. DR. ENDANG ROCHYADI, M.PD",6139442,S3 - Pendidikan Khusus,800,551,0,0,2,8,2,1,6,1,1,1,1,14,42,8,92,271,36,0,0,0
YAYA S. KUSUMAH,6676817,Unknown,1.331,695,0,0,10,25,,10,55,,1,1,,57,268,40,176,2153,136,0,0,0
TAUFIK RAMLAN RAMALIS,5994709,S2 - Pendidikan Fisika,1.055,574,0,0,3,9,1,0,9,0,1,1,1,39,38,17,113,400,74,0,0,0
MUKTIARNI,6745839,S1 - Pendidikan Tata Boga,771,596,0,0,3,5,0,1,4,0,1,1,0,19,27,8,57,181,28,0,0,0
SITI FATIMAH,5978161,S2 - Pendidikan Matematika,1.501,832,0,0,7,12,,4,12,,1,1,,42,104,20,69,518,43,0,0,0
AGUS RAHAYU,5985049,S3 - Manajemen,1.088,564,0,0,4,10,,1,10,,2,1,,26,23,7,160,379,68,0,0,0
SRI MULYANI,6123713,S1 - Pendidikan Kimia,932,574,0,0,5,0,,2,0,,1,4,,22,42,10,0,0,0,0,0,0
ERNAWULAN SYAODIH,6114767,S2 - Pendidikan Dasar,791,594,0,0,5,13,,2,19,,1,1,,24,244,15,118,1410,68,0,0,0
NANANG PRIATNA,5980973,S2 - Pendidikan Matematika,1.565,847,0,0,5,14,3,0,19,0,1,1,1,47,73,25,166,823,72,31,22,10
LILIASARI,5991831,S3 - Pendidikan Ilmu Pengetahuan Alam,1.721,848,0,0,9,20,,7,43,,1,9,,77,209,45,168,1807,125,0,0,0
LILIK HASANAH,5994035,S1 - Fisika,2.245,906,0,0,8,12,3,6,15,2,1,1,5,84,211,51,143,430,75,9,42,7
LALA SEPTEM RIZA,5975668,S2 - Pendidikan Ilmu Komputer,2.726,907,0,0,12,15,7,12,21,6,1,1,1,76,576,52,174,962,82,45,310,29
RINA MARYANTI,6768594,S1 - Pendidikan Khusus,1.228,926,0,0,7,12,6,6,17,4,1,3,1,28,172,19,90,459,49,16,95,13
YAYANG FURI FURNAMASARI,6732204,S1 - PGSD Kampus Cibiru,1.057,921,0,0,0,6,,0,3,,1,2,,1,0,0,139,373,74,0,0,0
YULIA RAHMAWATI,5999482,S3 - Pendidikan Teknologi dan Kejuruan,1.402,941,0,0,9,4,,7,4,,1,3,,2,1,1,43,90,15,0,0,0
MUBIAR AGUSTIN,6128201,Unknown,542,382,0,0,1,13,,0,18,,1,1,,8,1,1,153,1522,81,0,0,0
MUHAMAD PARHAN,6709291,S2 - Pendidikan Ilmu Pengetahuan Sosial,772,554,0,0,1,10,,0,11,,1,1,,3,3,1,74,280,34,0,0,0
ISMA WIDIATY,5978971,S1 - Pendidikan Kesejahteraan Keluarga,1.989,838,0,0,6,13,3,4,15,2,1,1,1,74,172,44,141,539,81,24,49,14
NURYANI RUSTAMAN,5991811,S3 - Pendidikan Ilmu Pengetahuan Alam,2.129,930,0,0,6,27,,2,61,,1,1,,79,132,44,313,3771,200,0,0,0
AMUNG MAMUN,5994366,S3 - Pendidikan Olahraga,815,563,0,0,2,11,0,0,15,0,2,1,0,24,20,11,171,769,80,0,0,0
AFIANTI SULASTRI,5994273,D3 - Keperawatan,392,241,0,0,2,5,1,1,3,0,1,1,1,9,17,3,44,67,15,5,2,1
SRI SETYARINI,6121097,S3 - Pendidikan Bahasa Inggris,418,246,0,0,2,0,,0,0,,1,1,,16,14,5,0,0,0,0,0,0
MUNAWAR RAHMAT,5993616,S2 - Pendidikan Ilmu Pengetahuan Sosial,666,242,0,0,2,9,,0,7,,1,1,,6,10,5,117,323,58,0,0,0
YAYAT SUDARYAT,5987640,S2 - Pendidikan Bahasa dan Budaya Sunda,895,260,0,0,2,11,1,0,14,0,1,1,2,7,9,4,173,927,71,2,2,1
MIMIN IRYANTI,5979500,S1 - Fisika,698,216,0,0,4,6,2,0,1,0,1,1,3,18,32,13,48,97,28,5,9,5
VINA DWIYANTI,6745842,S1 - Teknik Logistik,324,271,0,0,2,4,,0,2,,1,1,,10,11,5,33,145,13,0,0,0
DELLA AYU LESTARI,6697506,S1 - Sistem Informasi Kelautan,259,233,0,0,1,2,0,0,0,0,1,1,0,6,2,2,24,11,6,0,0,0
ADI RAHMAT,5986402,S1 - Pendidikan Biologi,1.050,558,0,0,3,9,1,0,8,0,1,1,1,34,28,13,113,334,63,30,7,6
ROFI ROFAIDA,5993860,S2 - Manajemen,502,220,0,0,1,0,,0,0,,2,1,,6,4,3,0,0,0,0,0,0
DIAH GUSRAYANI,5993469,S1 - PGSD Kampus Sumedang,667,210,0,0,1,10,,0,10,,1,1,,4,3,3,82,447,41,0,0,0
YUNUS ABIDIN,257816,S2 - Pendidikan Guru Sekolah Dasar Kampus Cibiru,687,192,0,0,1,18,0,0,22,0,3,1,0,4,4,2,123,6170,65,0,0,0
LENI ANGGRAENI,5988484,S1 - Pendidikan Pancasila Dan Kewarganegaraan,520,212,0,0,1,5,,0,3,,1,2,,4,0,0,129,120,28,0,0,0
SURYADI,5978515,S1 - Administrasi Pendidikan,318,212,0,0,1,0,,0,0,,2,0,,12,5,4,0,0,0,0,0,0
TRI INDRI HARDINI,5978640,S2 - Pendidikan Bahasa Perancis,336,188,0,0,1,5,0,0,3,0,1,1,0,3,2,2,61,103,21,0,0,0
NURBAETY AGUSTINA DEWI RATNASARI,6666061,Unknown,575,189,0,0,0,27,,0,76,,0,0,,0,0,0,570,5364,0,0,0,0
MAD ALI ,6787108,S2 - Pendidikan Bahasa Arab,416,228,0,0,0,1,0,0,0,0,0,1,0,0,0,0,18,3,2,0,0,0
HAIPAN SALAM,5978333,S1 - Pendidikan Teknik Mesin,479,189,0,0,4,6,3,3,3,1,0,1,3,7,61,7,28,119,10,5,26,5
BAMBANG DARMAWAN,5991508,S1 - Pendidikan Teknik Mesin,270,202,0,0,4,0,,1,0,,2,1,,2,2,2,0,0,0,0,0,0
JULIANA,6649754,S1 - Ilmu Ekonomi dan Keuangan Islam,299,189,0,0,2,6,1,1,4,1,4,1,0,3,11,2,45,130,26,1,11,1
DIAN BUDIANA,5984830,S1 - PGSD Pendidikan Jasmani,412,196,0,0,3,7,0,1,5,0,5,5,1,11,33,8,70,163,37,0,0,0
MAYA SARI,5984857,S3 - Manajemen,388,198,0,0,2,0,,0,0,,2,1,,5,6,2,0,0,0,0,0,0
IDAT MUQODAS,5994301,S1 - PGPAUD Kampus Purwakarta,326,212,0,0,1,8,0,0,7,0,1,1,1,5,3,2,59,206,29,1,0,0
FLORENTINA MARIA TITIN SUPRIYANTI,6682493,S1 - Kimia,486,196,0,0,3,11,,1,14,,1,1,,14,25,7,56,1560,34,0,0,0
RR HERTIEN KOOSBANDIAH S,5995733,S2 - Pendidikan Biologi,410,198,0,0,3,9,,1,8,,1,1,,10,54,8,43,233,29,0,0,0
RUSMAN,5995802,S2 - Pengembangan Kurikulum,506,254,0,0,2,10,,0,10,,2,1,,14,11,8,29,1352,16,0,0,0
TRY RAMADHAN,6745711,S1 - Pendidikan Teknik Arsitektur,246,202,0,0,1,3,1,0,0,0,1,1,2,7,3,2,25,25,9,2,2,2
KAMA ABDUL HAKAM,5993710,S3 - Pendidikan Umum dan Karakter,525,196,0,0,2,9,0,0,9,0,1,1,0,12,10,5,71,1136,38,0,0,0
IHAT HATIMAH,5979054,S3 - Pendidikan Masyarakat,445,189,0,0,0,11,0,0,12,0,1,2,1,9,0,0,62,452,34,5,0,0
HERI YUSUF MUSLIHIN,6118136,S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya,261,189,0,0,0,5,,0,2,,1,1,,1,0,0,51,73,23,0,0,0
ELIYAWATI,6000519,S1 - Pendidikan IPA,281,189,0,0,1,4,1,0,2,0,1,1,1,9,7,4,19,49,10,6,3,3
HISNY FAJRUSSALAM,6688267,S1 - PGSD Kampus Purwakarta,374,199,0,0,0,6,0,0,5,0,0,1,1,0,0,0,67,96,17,1,0,0
AGUS FAKHRUDDIN,5993691,S1 - Ilmu Pendidikan Agama Islam,375,201,0,0,1,6,1,0,5,0,1,1,0,5,4,2,55,228,21,1,1,1
RICKY WIBOWO,5982918,S1 - PGSD Pendidikan Jasmani,370,190,0,0,0,6,0,0,1,0,1,1,1,5,0,0,40,91,19,2,0,0
YUDI WIBISONO,260167,S1 - Ilmu Komputer,543,199,0,0,3,9,2,0,8,0,1,4,2,13,23,8,59,245,34,7,4,3
TIA CITRA BAYUNI,6684835,Unknown,368,230,0,0,0,19,,0,42,,0,0,,0,0,0,295,1627,0,0,0,0
YUSUF HIDAYAT,6136712,S2 - Pendidikan Olahraga,503,215,0,0,2,11,0,0,11,0,1,1,1,9,8,3,101,407,47,3,0,0
SAEFUL KARIM,6022627,S1 - Pendidikan Fisika,530,216,0,0,4,13,,2,19,,1,1,,14,48,7,73,466,43,0,0,0
ISKANDAR MUDA PURWAAMIJAYA,257939,S1 - Teknik Sipil,452,201,0,0,2,3,,0,3,,1,1,,9,8,3,47,65,12,0,0,0
DADAN DJUANDA,5993483,S1 - PGSD Kampus Sumedang,637,215,0,0,1,13,,0,20,,1,3,,5,4,3,107,928,56,0,0,0
DADAN NUGRAHA,6068607,S1 - PGSD Kampus Sumedang,338,216,0,0,1,5,,0,3,,3,1,,4,5,2,63,82,12,0,0,0
MOKHAMAD SYAOM BARLIANA,257912,S2 - Arsitektur,599,223,0,0,2,8,1,1,7,1,1,1,4,20,39,5,102,330,41,6,10,1
JATMIKA NURHADI,5993416,S1 - Bahasa dan Sastra Indonesia,337,222,0,0,1,4,0,0,0,0,1,1,0,3,2,2,50,59,23,0,0,0
TRI SUWANDI,6198988,S1 - Pendidikan Biologi,363,224,0,0,2,6,1,1,4,0,1,1,1,5,26,3,21,148,13,2,2,1
ISAH CAHYANI,5994299,S2 - Pendidikan Bahasa Indonesia,491,225,0,0,1,16,,0,20,,1,1,,3,2,1,138,1195,68,0,0,0
YENI RACHMAWATI,5988495,S1 - Pendidikan Guru Pendidikan Anak Usia Dini,614,225,0,0,1,12,1,0,13,0,1,2,1,2,1,1,87,2533,62,7,1,1
IYON SUYANA,6109361,S1 - Pendidikan Fisika,382,226,0,0,3,8,,2,7,,2,1,,9,50,7,45,242,26,0,0,0
DIDIN SARIPUDIN,5984366,S3 - Pendidikan Sejarah,708,192,0,0,8,13,2,7,15,1,2,1,0,17,132,13,63,763,36,3,18,2
TJUTJU YUNIARSIH,5986201,S2 - Manajemen Perkantoran,646,227,0,0,2,13,,0,16,,2,1,,9,11,4,118,2680,65,0,0,0
ANGGA HADIAPURWA,5989706,S1 - Perpustakaan dan Sains Informasi,264,192,0,0,0,4,0,0,2,0,1,1,1,1,0,0,40,50,13,1,0,0
EPON NINGRUM,5990289,S3 - Pendidikan Geografi,617,193,0,0,4,10,1,0,10,0,3,1,2,12,33,12,63,529,35,7,7,5
JUJU MASUNAH,258201,S3 - Pendidikan Seni,552,193,0,0,1,9,1,0,9,0,1,1,1,6,6,4,107,316,50,14,1,1
ENJANG AHMAD JUANDA,5993925,D3 - Teknik Elektro,549,194,0,0,3,7,2,1,4,0,2,1,2,11,37,9,61,189,30,11,8,6
RASTO,5993224,S2 - Manajemen Perkantoran,283,210,0,0,2,9,,1,9,,0,3,,3,18,3,47,561,27,0,0,0
MESA RAHMI STEPHANI,6068759,S1 - PGSD Pendidikan Jasmani,325,194,0,0,1,6,0,0,3,0,1,2,1,3,0,0,37,100,19,1,0,0
IDA FARIDA ADI PRAWIRA,6027190,S2 - Magister Ilmu Akuntansi,327,227,0,0,1,5,0,0,2,0,2,1,1,6,2,2,50,84,22,2,0,0
DADANG SUDANA,5994886,S3 - Linguistik,276,195,0,0,0,4,,0,1,,1,1,,5,0,0,80,60,26,0,0,0
BELTASAR TARIGAN,5979103,S3 - Pendidikan Olahraga,663,195,0,0,3,12,1,2,14,0,7,1,2,11,41,5,161,605,75,6,2,2
ELIH SUDIAPERMANA,6687259,S3 - Pendidikan Masyarakat,346,195,0,0,1,6,1,0,4,0,1,1,3,4,6,1,31,149,15,1,4,1
CICA YULIA,5995421,S1 - Pendidikan Tata Boga,419,227,0,0,4,7,,1,5,,1,1,,11,24,5,58,178,32,0,0,0
TITA MULYATI,5989944,S2 - Pendidikan Guru Sekolah Dasar Kampus Cibiru,300,203,0,0,1,10,,0,11,,1,32,,2,3,1,40,792,27,0,0,0
DEDE SUGANDI,5989548,S2 - Pendidikan Geografi,498,203,0,0,3,8,,0,5,,1,1,,14,18,5,86,221,48,0,0,0
YUSUF TRI HERLAMBANG,5987552,S1 - PGSD Kampus Cibiru,311,205,0,0,1,11,0,0,12,0,1,1,0,3,1,1,48,508,25,3,0,0
"DR. ILFIANDRA, M.PD",5989603,S2 - Bimbingan Dan Konseling,601,216,0,0,3,8,,0,8,,1,1,,11,26,8,64,464,33,0,0,0
KARIM SURYADI,5988516,S3 - Pendidikan Kewarganegaraan,597,193,0,0,1,10,1,0,11,0,1,1,1,10,9,2,106,488,59,11,9,1
DADAN DASARI,6000619,Unknown,336,208,0,0,1,6,,0,5,,1,1,,12,9,7,87,139,33,0,0,0
YUYU RACHMAT TAYUBI,5995486,S1 - Fisika,540,234,0,0,3,5,0,0,2,0,1,1,0,21,30,12,51,331,22,0,0,0
DINGDING HAERUDIN,5987647,S2 - Pendidikan Bahasa dan Budaya Sunda,479,192,0,0,0,5,0,0,4,0,1,2,0,3,0,0,68,113,27,0,0,0
HANA YUNANSAH,5988891,S1 - PGSD Kampus Cibiru,371,236,0,0,0,8,0,0,7,0,1,1,1,2,0,0,46,699,26,1,0,0
EDI SURYADI,5994793,S2 - Manajemen Perkantoran,386,208,0,0,2,9,,0,7,,1,1,,8,17,5,33,385,17,0,0,0
DUDI GUNAWAN,6687356,S1 - Pendidikan Khusus,1.359,239,0,0,0,5,,0,3,,0,1,,0,0,0,19,71,11,0,0,0
DEDE TRIE KURNIAWAN,6745958,S2 - Pendidikan Guru Sekolah Dasar Kampus Cibiru,462,208,0,0,2,6,1,0,5,0,1,1,1,6,6,2,53,175,30,1,0,0
FEBBRY CIPTA,5995501,S1 - Pendidikan Seni Musik,279,210,0,0,1,2,,0,1,,1,1,,4,4,2,22,15,4,0,0,0
INDRA MAMAD GANDIDI,5975145,S1 - Pendidikan Teknik Mesin,771,239,0,0,6,7,4,4,7,2,3,3,2,16,92,12,36,138,19,12,66,10
ISHAK ABDULHAK,5991803,S3 - Pendidikan Masyarakat,524,239,0,0,1,11,,0,16,,1,1,,12,3,3,78,1058,43,0,0,0
LELI HALIMAH,5978631,S1 - PGPAUD Kampus Cibiru,449,217,0,0,2,10,2,1,10,0,1,1,1,4,18,2,66,569,34,4,9,2
SURYANA,5978648,S3 - Manajemen,342,236,0,0,3,8,,0,7,,1,4,,14,31,8,46,169,20,0,0,0
INDAH SUSANTI,6681739,S1 - Pendidikan Teknik Arsitektur,324,217,0,0,2,7,0,0,3,0,1,1,0,7,6,3,24,94,15,0,0,0
TATI NARAWATI,5995150,S3 - Pendidikan Seni,538,239,0,0,1,8,0,0,6,0,2,1,1,2,2,2,79,364,42,10,0,0
RIKO ARRASYID,6681555,S1 - Pendidikan Pariwisata,302,240,0,0,1,2,1,0,0,0,1,1,2,8,4,2,21,21,9,3,1,1
SOJA SITI FATIMAH,5976517,S1 - Kimia,346,202,0,0,4,0,,1,0,,2,5,,18,42,13,0,0,0,0,0,0
RANI MEGASARI,5992674,S1 - Ilmu Komputer,401,216,0,0,3,4,,0,1,,2,1,,16,26,10,21,68,13,0,0,0
FITRI RAHMAFITRIA,6067571,S1 - Manajemen Resort dan Leisure,549,218,0,0,4,6,,2,5,,1,1,,14,66,7,57,191,33,0,0,0
DADANG SUNENDAR,5982345,S3 - Pendidikan Bahasa Indonesia,422,219,0,0,2,8,0,0,6,0,1,1,0,8,10,4,85,1148,37,0,0,0
DIDIK PRIYANDOKO,6658318,Unknown,787,219,0,0,8,12,,7,14,,1,1,,0,0,0,62,607,33,0,0,0
WIJI,6012036,S2 - Pendidikan Kimia,542,217,0,0,2,4,1,0,2,0,1,1,2,15,18,7,19,52,10,8,4,3
SJAEFUL ANWAR,6094907,S1 - Pendidikan Kimia,434,230,0,0,3,0,0,0,0,0,1,1,0,18,21,8,0,0,0,0,0,0
HERLI SALIM,6003534,S1 - PGSD Kampus Serang,363,217,0,0,1,3,,0,1,,2,1,,3,3,2,38,44,11,0,0,0
MAMAT SUPRIATNA,6123032,S2 - Psikologi Pendidikan,571,230,0,0,1,11,0,0,11,0,1,1,1,6,1,1,92,802,42,5,0,0
YADI MULYADI,6003577,S1 - Teknik Elektro,985,231,0,0,3,9,,2,8,,1,1,,30,46,15,157,357,64,0,0,0
SRI SUMARTINI,6141086,D3 - Keperawatan,336,231,0,0,1,5,0,0,4,0,1,1,1,3,2,1,26,87,12,1,0,0
VISMAIA S DAMAIANTI,5993885,S3 - Pendidikan Bahasa Indonesia,510,231,0,0,1,10,0,0,11,0,1,1,1,9,6,5,170,943,76,0,0,0
ENJUN JUNAETI,5992648,S1 - Pendidikan Ilmu Komputer,598,232,0,0,4,6,3,2,5,0,1,1,2,21,51,9,31,148,15,12,18,5
AGUS SUHERMAN,5986522,S1 - Pendidikan Bahasa Sunda,473,232,0,0,1,9,0,0,9,0,2,1,0,2,1,1,48,205,26,0,0,0
SUNARYO KARTADINATA,5990867,S3 - Bimbingan Dan Konseling,521,232,0,0,2,16,,0,27,,1,1,,13,9,4,121,900,80,0,0,0
KUSNANDI,6700094,S2 - Pendidikan Matematika,348,274,0,0,2,9,,0,8,,3,1,,14,17,8,43,194,29,0,0,0
YUSUF SURYANA,5994506,S1 - PGSD Kampus Tasikmalaya,444,218,0,0,0,11,0,0,12,0,0,1,0,0,0,0,107,281,50,0,0,0
FAHMI CANDRA PERMANA,6068366,S1 - Pendidikan Multimedia Kampus Cibiru,372,278,0,0,2,5,0,0,4,0,1,1,0,8,11,2,31,88,17,0,0,0
CEP UBAD ABDULLAH,6681401,S1 - Pendidikan Pariwisata,671,279,0,0,5,7,3,1,5,1,1,1,1,19,48,10,47,125,22,12,29,8
HR AAM HAMDANI,5993854,S1 - Pendidikan Teknik Mesin,549,279,0,0,4,5,4,2,2,1,1,1,6,13,36,6,41,87,20,0,0,0
EPON NUR'AENI L,5980779,S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya,380,234,0,0,1,5,0,0,4,0,1,1,1,8,3,2,62,185,32,2,0,0
AGUS BUDIMAN,5995789,S1 - Pendidikan Seni Tari,328,246,0,0,3,5,0,0,3,0,1,1,0,6,6,3,36,82,20,0,0,0
JUANG AKBARDIN,5979018,S1 - Teknik Sipil,492,281,0,0,4,6,,1,3,,3,1,,16,42,9,61,129,33,0,0,0
HENY HENDRAYATI,5994544,S1 - Manajemen,469,275,0,0,2,7,,1,4,,2,1,,11,17,3,136,233,49,0,0,0
JUDHISTIRA ARIA UTAMA,6125861,S1 - Fisika,767,278,0,0,4,6,0,1,3,0,1,1,0,29,47,13,92,124,34,0,0,0
IKA MUSTIKA SARI,5993538,S1 - Pendidikan Fisika,476,278,0,0,3,7,,1,7,,2,1,,10,25,7,47,253,25,0,0,0
HENDRAWAN,5994163,S1 - Kimia,854,248,0,0,10,7,0,10,6,0,2,1,0,23,120,15,24,161,15,0,0,0
JAJA KUSTIJA,5993968,S1 - Pendidikan Teknik Elektro,519,251,0,0,3,5,2,0,4,0,1,1,2,14,23,6,30,78,17,14,12,8
SANDEY TANTRA PARAMITHA,5977670,S1 - Ilmu Keolahragaan,638,251,0,0,0,5,,0,3,,1,1,,7,0,0,64,147,25,0,0,0
MUSTOFA KAMIL,5994180,S2 - Pendidikan Masyarakat,544,253,0,0,2,12,1,0,15,0,1,1,1,9,8,3,71,1572,45,5,1,1
AMAY SUHERMAN,6657142,S3 - Pendidikan Teknologi dan Kejuruan,705,254,0,0,3,4,1,1,1,0,1,1,2,8,6,4,49,73,27,0,0,0
IKMANDA NUGRAHA,6000423,S1 - Pendidikan IPA,378,247,0,0,2,5,0,1,2,0,1,5,0,6,5,3,35,72,12,0,0,0
DIAN USDIYANA,6041973,S1 - Pendidikan Matematika,330,255,0,0,2,6,,2,4,,1,0,,14,45,6,38,205,0,0,0,0
PIPIT PITRIANI,6663966,S1 - Pendidikan Kepelatihan Olahraga,331,248,0,0,0,4,0,0,0,0,1,1,1,4,0,0,39,33,12,4,0,0
HERNAWATI,6005188,S1 - Biologi,512,247,0,0,3,4,2,0,2,0,2,9,1,8,18,5,16,76,9,0,0,0
TRIANA LESTARI,6006681,S1 - PGSD Kampus Cibiru,355,258,0,0,0,5,0,0,4,0,0,1,0,0,0,0,41,82,20,0,0,0
NOVI SOFIA FITRIASARI,5989748,S1 - Sistem Informasi Kelautan,532,257,0,0,2,4,1,1,3,0,1,1,1,11,18,6,35,83,17,5,7,2
"DR. M. SOLEHUDDIN, M.PD., M.A.",5995348,S3 - Bimbingan Dan Konseling,505,252,0,0,3,10,1,0,10,0,2,1,2,16,24,10,42,379,22,0,0,0
CECE RAKHMAT,5993220,S3 - Pendidikan Khusus,386,259,0,0,2,9,,1,8,,1,1,,10,38,5,63,1434,35,0,0,0
IKAPUTERA WASPADA,5993422,S3 - Manajemen,366,242,0,0,1,7,,1,6,,1,1,,3,10,1,82,224,35,0,0,0
ARIF HIDAYAT,257991,S1 - Pendidikan Fisika,428,206,0,0,3,3,0,0,2,0,1,8,0,8,6,3,6,41,4,0,0,0
TAUFIK RIDWAN,6757589,S1 - Pendidikan Sistem dan Teknologi Informasi Kampus P,335,255,0,0,2,5,0,1,4,0,2,1,0,6,22,5,24,88,16,0,0,0
BUDI LAKSONO PUTRO,5993187,S1 - Pendidikan Ilmu Komputer,603,256,0,0,3,5,,0,2,,2,2,,18,39,14,62,221,33,0,0,0
SYIHABUDDIN,5990111,S2 - Pendidikan Bahasa Arab,683,279,0,0,2,14,0,0,18,0,1,1,0,7,7,4,211,1373,88,0,0,0
AGUS HERI SETYA BUDI,6003446,S1 - Teknik Elektro,563,258,0,0,3,4,2,0,1,0,2,2,2,17,29,12,30,38,14,14,11,9
SITI KOMARIAH,5976333,S2 - Pendidikan Sosiologi,451,244,0,0,1,7,0,0,4,0,1,1,1,6,1,1,54,158,27,0,0,0
DADANG SUNDAWA,5990764,S3 - Pendidikan Ilmu Pengetahuan Sosial,630,258,0,0,2,8,,0,6,,2,1,,4,8,3,89,253,29,0,0,0
PUSPO DEWI DIRGANTARI,5980376,S1 - Pendidikan Bisnis,489,245,0,0,5,8,2,3,7,0,1,1,4,11,52,6,91,227,29,4,13,3
HERMAN SUBARJAH,5994028,S3 - Pendidikan Olahraga,637,263,0,0,3,11,,0,11,,1,1,,8,16,6,113,552,58,0,0,0
BAMBANG AVIP PRIATNA MARTADIPUTRA,6124136,S1 - Pendidikan Matematika,475,243,0,0,2,7,,0,4,,1,1,,9,5,4,60,174,35,0,0,0
RINI SOLIHAT,6005021,S1 - Pendidikan Biologi,437,264,0,0,2,5,1,0,4,0,1,1,1,9,9,5,46,93,26,5,0,0
TUSZIE WIDHIYANTI,6123602,S1 - Pendidikan Kimia,395,265,0,0,3,3,2,0,0,0,1,4,2,15,18,7,8,22,7,14,10,4
YAYAN NURBAYAN,258249,S1 - Pendidikan Bahasa Arab,545,265,0,0,1,9,0,0,8,0,1,1,1,4,7,2,65,289,33,0,0,0
USEP SURAHMAN,5978237,S2 - Arsitektur,772,267,0,0,5,7,0,2,5,0,2,2,1,28,85,18,44,145,24,0,0,0
TOMMI HARIYADI,5992365,S1 - Teknik Elektro,897,267,0,0,6,7,,2,3,,1,1,,37,104,25,51,163,33,0,0,0
"SUHENDRA, M.ED., PH.D",6140435,S1 - Pendidikan Matematika,533,244,0,0,4,9,,1,8,,1,1,,25,50,13,21,201,17,0,0,0
AAH AHMAD SYAHID,5993425,S1 - PGSD Kampus Sumedang,426,268,0,0,2,6,0,0,4,0,1,2,0,8,8,5,48,119,21,0,0,0
LILI SOMANTRI,5995390,S1 - Sains Informasi Geografi,685,244,0,0,3,7,,0,5,,1,1,,14,22,7,68,225,40,0,0,0
SUHARNO,5994737,S1 - Pendidikan Bahasa Inggris,404,263,0,0,4,0,,2,0,,1,1,,26,42,7,12,0,0,0,0,0
"ASEP DAHLIYANA, S.PD.,M.PD.",5997439,S1 - Pendidikan Sosiologi,353,267,0,0,0,4,0,0,1,0,1,1,1,1,0,0,30,169,11,1,0,0
DADANG LUKMAN HAKIM,5994748,S1 - Teknik Elektro,780,243,0,0,5,9,,1,9,,2,1,,33,86,23,58,440,38,0,0,0
UDIN SYAEFUDIN SAUD,6134774,S3 - Pendidikan Dasar,363,243,0,0,2,15,,0,19,,2,1,,6,17,4,73,3334,49,0,0,0
NUNUY NURJANAH,5983965,S2 - Pendidikan Bahasa dan Budaya Sunda,380,181,0,0,2,5,0,0,3,0,1,1,0,7,7,3,45,136,16,0,0,0
RUSWAN DALLYONO,6682759,S1 - Bahasa dan Sastra Inggris,230,181,0,0,3,5,0,1,2,0,1,4,0,8,31,5,19,75,8,0,0,0
SUCI TUTY PUTRI ,5975877,D3 - Keperawatan,370,181,0,0,1,6,1,0,4,0,1,1,1,6,2,1,33,246,16,3,1,1
WILDAN INSAN FAUZI,5992676,S1 - Pendidikan Sejarah,277,168,0,0,1,4,0,0,1,0,2,1,1,4,2,2,26,57,14,1,0,0
