name,sinta_id,title,quartile,journal,author_order,creator,year,cited
AGUS SETIABUDI,5982867,"Ceramic catalysts, supports, and filters for diesel exhaust after-treatment",no-Q Journal,Structured Catalysts and Reactors,Author Order : 3 of 3,Creator : Gulati S.T.,2005,4 cited
SENI APRILIYA,5977974,Didactical design material units of distance and speed to developed mathematical connection in elementary school,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 3,Creator : Jannah R.R.,2017,2 cited
SENI APRILIYA,5977974,The development of children's story book about Acep Zamzam Noor to support learning bahasa Indonesia in elementary school,Q4 Journal,Man in India,Author Order : 3 of 3,Creator : Andriani E.,2016,0 cited
AGUS SETIABUDI,5982867,Removal of manganese from aqueous solution using indonesian peat,Q4 Journal,Solid State Phenomena,Author Order : 6 of 6,Creator : Yuliani G.,2020,0 cited
AGUS SETIABUDI,5982867,Adsorption-desorption properties of ammonium ion on zeolite bottom ash in aqueous solution,no-Q Journal,PervasiveHealth: Pervasive Computing Technologies for Healthcare,Author Order : 5 of 5,Creator : Yuliani G.,2020,0 cited
EDDY PRASETYO NUGROHO,5990993,Implementation of rivest chiper cryptography (Rc6) with one time password (otp) and two central facilities protocol in complaint service system,no-Q Journal,PervasiveHealth: Pervasive Computing Technologies for Healthcare,Author Order : 2 of 3,Creator : Nursalman M.,2020,0 cited
EDDY PRASETYO NUGROHO,5990993,Using simulation in network security learning,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 6,Creator : Nugroho E.P.,2019,0 cited
EDDY PRASETYO NUGROHO,5990993,Scheduling the cluster server node shutdown based on the hierarchical and k-means clustering combinations,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 3,Creator : Sudarsono G.,2019,0 cited
DEDE ROHMAT NURJAYA,6011830,The correlation between butterfly swimming technique with motor ability and motor educability,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 4,Creator : Sriningsih,2017,0 cited
AGUS SETIABUDI,5982867,Preparation of zeolite from coal fly ash and its adsorption-desorption behavior on ammonium ion in aqueous solution,Q2 Journal,Journal of Engineering Science and Technology,Author Order : 4 of 4,Creator : Yuliani G.,2020,0 cited
EDDY PRASETYO NUGROHO,5990993,The effectiveness of Multimedia in Education for Special Education (MESE) to improve reading ability and memorizing for children with intellectual disability,Q2 Journal,International Journal of Emerging Technologies in Learning,Author Order : 3 of 5,Creator : Munir,2018,6 cited
EDDY PRASETYO NUGROHO,5990993,Metaheuristicopt: An R package for optimisation based on Meta-Heuristics Algorithms,Q4 Journal,Pertanika Journal of Science and Technology,Author Order : 3 of 4,Creator : Riza L.,2018,7 cited
AGUS SETIABUDI,5982867,EXPLORING THE IMPACT OF LOW CARBON LITERACY TO THE INDONESIAN CHILDREN IN ELEMENTARY SCHOOL FOR THE CARBON FOOTPRINT OF HOUSEHOLD ELECTRIC CONSUMPTION AND THE FAMILY LOW CARBON PRACTICE,Q2 Journal,Journal of Engineering Science and Technology,Author Order : 3 of 4,Creator : Amin M.S.,2020,0 cited
AGUS SETIABUDI,5982867,Adsorption-Desorption Properties of Ammonium Ion on Zeolite Bottom Ash in Aqueous Solution,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 5 of 5,Creator : Yuliani G.,2020,0 cited
EDDY PRASETYO NUGROHO,5990993,Parallel exponential smoothing using the bootstrap method in R for forecasting asteroid’s orbital elements,Q4 Journal,Pertanika Journal of Science and Technology,Author Order : 5 of 5,Creator : Riza L.S.,2018,9 cited
AGUS SETIABUDI,5982867,Strengthen the student environmental literacy through education with low carbon education teaching materials,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Amin M.,2019,1 cited
AGUS SETIABUDI,5982867,The pattern of environmental education practice at schools and its impact to the level of environmental literacy of school-age student,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 3 of 3,Creator : Amin M.,2019,4 cited
AGUS SETIABUDI,5982867,Application of coal bottom ash zeolite on lignin and methylene blue adsorption,Q4 Journal,Materials Science Forum,Author Order : 3 of 3,Creator : Galuh Y.,2019,0 cited
AGUS SETIABUDI,5982867,A possible use of raw and treated Kalimantan sub-bituminous coal as colour adsorbent in aqueous solutions,Q3 Journal,Journal of Chemical Technology and Metallurgy,Author Order : 3 of 4,Creator : Yuliani G.,2018,1 cited
KUSTON SULTONI,259556,Sports Activities High Performance Athletes Muslim Women in Indonesia and Malaysia,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 4,Creator : Fitri M.,2017,3 cited
KUSTON SULTONI,259556,Barriers to Physical Activity on University Student,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 3,Creator : Jajat,2017,4 cited
IRA PURNAMASARI MN,6009786,Digital literacy for children based on steam in family education,Q4 Journal,Journal of Physics: Conference Series,Author Order : 0 of 3,Creator : Purnamasari I.,2020,1 cited
IRA PURNAMASARI MN,6009786,The Utilization of YouTube Media in Learning Antropology in Higher Education,Q4 Journal,Journal of Physics: Conference Series,Author Order : 0 of 2,Creator : Purnamasari I.,2019,0 cited
IRA PURNAMASARI MN,6009786,Modelling of fixed bed anaerobic reactor with coconut shell as media for clogging assessment in batch and continuous system,Q4 Journal,Pollution Research,Author Order : 0 of 5,Creator : Oktavitri N.I.,2019,0 cited
IRA PURNAMASARI MN,6009786,K-means algorithm with improved initialization for clustering fruit plants,Q4 Journal,Journal of Physics: Conference Series,Author Order : 0 of 3,Creator : Amijaya F.D.T.,2019,0 cited
IRA PURNAMASARI MN,6009786,Analysis of spatial autocorrelation of diarrhea events in East Kalimantan in 2015-2017 using a local indicator of spatial autocorrelation,Q4 Journal,Journal of Physics: Conference Series,Author Order : 0 of 3,Creator : Hayati M.N.,2019,0 cited
IRA PURNAMASARI MN,6009786,Diversity and inheritance in cowpea (Vigna unguiculata) on protein and yield components characters,Q3 Journal,Biodiversitas,Author Order : 0 of 0,Creator : Purnamasari I.,2019,4 cited
IRA PURNAMASARI MN,6009786,Anaerobic digestion of slaughterhouse wastewater: Co,Q3 Journal,Indonesian Journal of Chemistry,Author Order : 0 of 6,Creator : Oktavitri N.I.,2019,3 cited
IRA PURNAMASARI MN,6009786,Oxygen Adsorption Kinetics Study used Pressure Swing Adsorber (PSA) for Nitrogen Production,Q4 Journal,Journal of Physics: Conference Series,Author Order : 0 of 0,Creator : Purnamasari I.,2019,0 cited
IRA PURNAMASARI MN,6009786,Chitin and Chitosan from Green Shell (Perna Viridis): Utilization Fisheries Wastes from Traditional Market in Jakarta,no-Q Journal,MATEC Web of Conferences,Author Order : 0 of 0,Creator : Firdaus F.E.,2018,3 cited
IRA PURNAMASARI MN,6009786,Kinetics study of Jatropha oil esterification with ethanol in the presence of tin (II) chloride catalyst for biodiesel production,Q4 Journal,AIP Conference Proceedings,Author Order : 0 of 0,Creator : Kusumaningtyas R.D.,2017,4 cited
KUSTON SULTONI,259556,Development of smartphone application for personalized physical fitness education for university students in COVID-19 pandemic era,Q4 Journal,Journal of Engineering Research (Kuwait),Author Order : 2 of 3,Creator : Suherman A.,2021,0 cited
KUSTON SULTONI,259556,Sedentary Behaviour and Sleeping Time of Adolescents in Indonesia: Objective Measurement with Accelerometer ActivPAL,Q4 Journal,Malaysian Journal of Medicine and Health Sciences,Author Order : 2 of 5,Creator : Jajat,2021,0 cited
KUSTON SULTONI,259556,Comparison of Student Athlete's Physical Activity and Sedentary Behaviour by Gender,Q4 Journal,Malaysian Journal of Medicine and Health Sciences,Author Order : 3 of 3,Creator : Sudrazat A.,2021,0 cited
KUSTON SULTONI,259556,Physical Activity and Sedentary Behavior in University Student During Online Learning: The Effect of Covid-19 Pandemic,Q4 Journal,Malaysian Journal of Medicine and Health Sciences,Author Order : 3 of 4,Creator : Suherman A.,2021,0 cited
IRA PURNAMASARI MN,6009786,The Quality of Social Interaction between Martial Art Athletes,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 0 of 0,Creator : Purnamasari I.,2017,0 cited
IRA PURNAMASARI MN,6009786,Effect of digestion time on anaerobic digestion with high ammonia concentration,Q4 Journal,AIP Conference Proceedings,Author Order : 0 of 5,Creator : Oktavitri N.I.,2016,0 cited
IRA PURNAMASARI MN,6009786,Naive Bayes classifier algorithm and Particle Swarm Optimization for classification of cross selling (Case study: PT TELKOM Jakarta),no-Q Journal,"Proceedings of 2016 4th International Conference on Cyber and IT Service Management, CITSM 2016",Author Order : 0 of 0,Creator : Sfenrianto,2016,3 cited
IRA PURNAMASARI MN,6009786,Level decreasing kinetics model of heavy metal contents in the coal stockpile wastewater with electrocoagulation,no-Q Journal,"International Journal on Advanced Science, Engineering and Information Technology",Author Order : 0 of 0,Creator : Rusdianasari,2015,12 cited
KUSTON SULTONI,259556,Technology-supported university courses for increasing university students’ physical activity levels: A systematic review and set of design principles for future practice,Q1 Journal,International Journal of Environmental Research and Public Health,Author Order : 1 of 3,Creator : Sultoni K.,2021,0 cited
KUSTON SULTONI,259556,"Global effect of COVID-19 pandemic on physical activity, sedentary behaviour and sleep among 3- to 5-year-old children: a longitudinal study of 14 countries",Q1 Journal,BMC Public Health,Author Order : 25 of 37,Creator : Okely A.D.,2021,23 cited
KUSTON SULTONI,259556,The Effect of Social Participation on Elderly Live Satisfaction,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 3,Creator : Kusmaedi N.,2017,1 cited
KUSTON SULTONI,259556,Character based physical education model,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 3,Creator : Suherman A.,2017,1 cited
KUSTON SULTONI,259556,Sports Activities High Performance Athletes Muslim Women in Indonesia and Malaysia,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 4,Creator : Fitri M.,2017,3 cited
KUSTON SULTONI,259556,Barriers to Physical Activity on University Student,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 3,Creator : Jajat,2017,4 cited
MAMAN SOMANTRI,6003437,Preliminary Study of Micro-hydro Power Plant (MHPP) in the Rural Area,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 5,Creator : Ratnata I.W.,2018,2 cited
MAMAN SOMANTRI,6003437,Freshness Detection of Snake Fruit Using A Combination of Gaussian Classifier and FCM,no-Q Journal,"7th International Conference on Information Technology, Computer, and Electrical Engineering, ICITAC",Author Order : 2 of 3,Creator : Muslim M.,2020,0 cited
MAMAN SOMANTRI,6003437,Comprehension of in-service primary-science teachers toward 21,Q4 Journal,Journal of Physics: Conference Series,Author Order : 7 of 8,Creator : Handayani H.,2019,3 cited
MAMAN SOMANTRI,6003437,How Do Primary Teachers Develop Students' Problem-Solving Skills to Construct Environmental Concepts?,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 5,Creator : Somantri M.,2019,0 cited
MAMAN SOMANTRI,6003437,Design of Battery Charging Control System (Fast Charging) on Electric Vehicle based on Atmega32 Microcontroller,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 2,Creator : Hidayah H.,2018,0 cited
MAMAN SOMANTRI,6003437,Bottle Filling Simulation System Using Programmable Logic Control,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 2,Creator : Pradana A.W.,2018,2 cited
MAMAN SOMANTRI,6003437,Model of load balancing using reliable algorithm with multi-agent system,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 0 of 0,Creator : Afriansyah M.F.,2017,0 cited
MAMAN SOMANTRI,6003437,Ticketing Chatbot Service using Serverless NLP Technology,no-Q Journal,"Proceedings - 2018 5th International Conference on Information Technology, Computer and Electrical E",Author Order : 4 of 6,Creator : Handoyo E.,2018,12 cited
MAMAN SOMANTRI,6003437,Design of Water Quality Control for Shrimp Pond Using Sensor-Cloud Integration,no-Q Journal,"Proceedings - 2018 5th International Conference on Information Technology, Computer and Electrical E",Author Order : 1 of 5,Creator : Somantri M.,2018,1 cited
MAMAN SOMANTRI,6003437,Implementation of vehicle traffic analysis using background subtraction in the Internet of Things (IoT) architecture,no-Q Journal,"2018 6th International Conference on Information and Communication Technology, ICoICT 2018",Author Order : 6 of 7,Creator : Sofwan A.,2018,5 cited
MAMAN SOMANTRI,6003437,Implementation of Sharing Knowledge Management in Internship Program Using Web-Based Information System,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 1 of 5,Creator : Somantri M.,2018,0 cited
MAMAN SOMANTRI,6003437,E-Portfolio Web-based for Students' Internship Program Activities,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 7,Creator : Juhana A.,2018,2 cited
MAMAN SOMANTRI,6003437,Predicting Creditworthiness of Smartphone Users in Indonesia during the COVID-19 pandemic using Machine Learning,no-Q Journal,"2021 International Seminar on Machine Learning, Optimization, and Data Science, ISMODE 2021",Author Order : 2 of 3,Creator : Kartika Winahyu R.R.,2022,0 cited
SULASTRI,6067962,Implementation of enterprise human resources management standards to achieve supply chain excellence in fertilizer companies in Indonesia,Q1 Journal,Uncertain Supply Chain Management,Author Order : 0 of 5,Creator : Soetjipto N.,2021,2 cited
SULASTRI,6067962,"Bank Capital, Efficiency and Risk: Evidence from Islamic Banks",no-Q Journal,"Journal of Asian Finance, Economics and Business",Author Order : 0 of 5,Creator : Isnurhadi I.,2021,1 cited
HERA NOVIA,6126827,Implementation of Interactive Conceptual Instruction (ICI) Learning Model Assisted by Computer Simulation: Impact of Students’ Conceptual Changes on Force and Vibration,Q1 Journal,International Journal of Emerging Technologies in Learning,Author Order : 3 of 6,Creator : Kaniawati I.,2021,0 cited
HERA NOVIA,6126827,Enhancing students collaboration skills in learning geometrical optics trough the ICARE learning model at Kabawo,Q4 Journal,Journal of Physics: Conference Series,Author Order : 5 of 6,Creator : Fatima W.O.,2021,0 cited
HERA NOVIA,6126827,Enhancing sundanese students’ creative thinking skills using ICARE model on physics concepts: A rasch analysis approach,Q4 Journal,Journal of Physics: Conference Series,Author Order : 5 of 11,Creator : Sa’diyah L.H.,2021,0 cited
MAMAN SOMANTRI,6003437,Magnetic properties of Co: Tio,Q4 Journal,Pertanika Journal of Science and Technology,Author Order : 4 of 4,Creator : Saripudin A.,2017,1 cited
MAMAN SOMANTRI,6003437,Developing agent application using aspect oriented Aglets framework,no-Q Journal,"ICITACEE 2015 - 2nd International Conference on Information Technology, Computer, and Electrical Eng",Author Order : 1 of 4,Creator : Somantri M.,2016,0 cited
MAMAN SOMANTRI,6003437,Crosscutting concerns refactoring in agent framework,no-Q Journal,"ICITACEE 2015 - 2nd International Conference on Information Technology, Computer, and Electrical Eng",Author Order : 1 of 4,Creator : Somantri M.,2016,1 cited
MAMAN SOMANTRI,6003437,Preliminary Study of Micro-hydro Power Plant (MHPP) in the Rural Area,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 5,Creator : Ratnata I.W.,2018,2 cited
MAMAN SOMANTRI,6003437,Design of Battery Charging Control System (Fast Charging) on Electric Vehicle based on Atmega32 Microcontroller,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 2,Creator : Hidayah H.,2018,0 cited
MAMAN SOMANTRI,6003437,"Corn Germ Color Detection during Storage in Kendal Regency, Central Java",Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 0 of 0,Creator : Al-Baarri A.N.,2022,0 cited
SULASTRI,6067962,DETERMINANTS CASH HOLDING OF COAL MINING COMPANIES LISTED ON THE INDONESIAN STOCK EXCHANGE,Q2 Journal,Academy of Strategic Management Journal,Author Order : 0 of 6,Creator : Endri E.,2020,2 cited
SULASTRI,6067962,Endemic and invasive species of Lake Matano and allowable suspended solid load to sustain high species endemism,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 0 of 5,Creator : Sulastri S.,2020,0 cited
SULASTRI,6067962,"Phytoplankton composition and abundance in the floating treatment wetlands (FTWs) system of Lake Maninjau, Indonesia",Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 0 of 3,Creator : Sulastri S.,2020,0 cited
HERA NOVIA,6126827,The development of metacognitive awareness related to the implementation of metacognitive-based learning,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 4,Creator : Novia H.,2019,0 cited
HERA NOVIA,6126827,Analyzing Students Responses to Construct Open Ended Question to Assess Scientific Creative and Critical Thinking (SCCT-Test) Related to Hydrostatic Pressure,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 5,Creator : Rusnayati H.,2019,3 cited
HERA NOVIA,6126827,Reducing Eleventh-Grade Students' Misconceptions on Gravity Concept using PDEODE?E-Based Conceptual Change Model,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 16,Creator : Zulfikar A.,2019,1 cited
MAMAN SOMANTRI,6003437,Model of load balancing using reliable algorithm with multi-agent system,no-Q Journal,"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",Author Order : 2 of 3,Creator : Afriansyah M.,2016,1 cited
MAMAN SOMANTRI,6003437,Design of agent framework using aspect oriented approach,no-Q Journal,"2015 International Seminar on Intelligent Technology and Its Applications, ISITIA 2015 - Proceeding",Author Order : 1 of 4,Creator : Somantri M.,2015,4 cited
MAMAN SOMANTRI,6003437,Design of an STM32 EduTrainer Board For Industrial Application,no-Q Journal,ISMEE 2021 - 2021 3rd International Symposium on Material and Electrical Engineering Conference: Enh,Author Order : 3 of 3,Creator : Rizqulloh M.A.,2021,0 cited
MAMAN SOMANTRI,6003437,Smart School System with Single ID based on RFID Through NFC using FCM Notification,no-Q Journal,Proceedings - 2021 4th International Conference on Computer and Informatics Engineering: IT-Based Di,Author Order : 3 of 3,Creator : Rokhmadi,2021,1 cited
MAMAN SOMANTRI,6003437,"Storage Technology, and Control of Aflatoxin in Corn (Zea mays L.) with Internet of Things (IoT) Application",Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 3 of 10,Creator : Hadipernata M.,2021,1 cited
SULASTRI,6067962,"Supply Chain Analysis in Public Works: The Role of Work Climate, Supervision and Organizational Learning",Q2 Journal,"Journal of Asian Finance, Economics and Business",Author Order : 0 of 4,Creator : Soetjipto N.,2020,1 cited
SULASTRI,6067962,Factors affecting customer trust and their impact on customer behavioural intention: A study of social commerce in Indonesia,Q2 Journal,Pertanika Journal of Social Sciences and Humanities,Author Order : 2 of 4,Creator : Tarmedi E.,2018,2 cited
SULASTRI,6067962,Using social media to promote student entrepreneurship,Q2 Journal,Pertanika Journal of Social Sciences and Humanities,Author Order : 4 of 5,Creator : Surachim A.,2018,1 cited
HERA NOVIA,6126827,Development of MBI,Q4 Journal,Journal of Physics: Conference Series,Author Order : 5 of 6,Creator : Firmansyah A.,2019,2 cited
HERA NOVIA,6126827,Collaboration skills-based multimedia-based integrated instruction (CS-MBI,Q4 Journal,Journal of Physics: Conference Series,Author Order : 4 of 7,Creator : Setiawan Y.,2019,2 cited
MAMAN SOMANTRI,6003437,"Total fungi profile in dried corn using traditional drying system in Kendal, Central Java Province, Indonesia",Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 3 of 11,Creator : Al-Baarri A.N.,2021,0 cited
MAMAN SOMANTRI,6003437,Biplot analysis for marking the quality of schools which compatible with national examination score,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 4,Creator : Fahrurrazi F.,2021,0 cited
SULASTRI,6067962,Enhancement of a novel isolate of Serratia plymuthica as potential candidate for an antianthracnose,Q2 Journal,Pakistan Journal of Biological Sciences,Author Order : 0 of 8,Creator : Aisyah S.,2016,8 cited
MAMAN SOMANTRI,6003437,The effect of drying land on the character of corn (Zea mays) on lightness properties,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 3 of 11,Creator : Hadipernata M.,2021,0 cited
MAMAN SOMANTRI,6003437,Inhibition on color changes of raja banana (Musa sapientum) peel using specific acid,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 7 of 13,Creator : Al-Baarri A.N.,2021,0 cited
SULASTRI,6067962,"Habitat characteristics of Lake Towuti, South Sulawesi, Indonesia - The home of endemic fishes",Q3 Journal,AACL Bioflux,Author Order : 0 of 3,Creator : Nasution S.,2015,6 cited
MAMAN SOMANTRI,6003437,Applicant Mapping of Predicting Seriousness in Choosing Private University using Self Organizing Map (SOM) Algorithm,no-Q Journal,"7th International Conference on Information Technology, Computer, and Electrical Engineering, ICITAC",Author Order : 2 of 3,Creator : Kunaryo B.H.,2020,0 cited
YUSEP SUKRAWAN,5978341,Effect of bamboo weight faction on mechanical properties in non-asbestos composite of motorcycle brake pad,Q3 Journal,Materials Physics and Mechanics,Author Order : 1 of 3,Creator : Sukrawan Y.,2019,10 cited
YUSEP SUKRAWAN,5978341,Blended learning development for vocational education,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 1 of 3,Creator : Sukrawan Y.,2018,0 cited
SHAFIRA HIMAYAH,6114986,"The Utilization of Landsat 8 Multitemporal Imagery and Forest Canopy Density (FCD) Model for Forest Reclamation Priority of Natural Disaster Areas at Kelud Mountain, East Java",Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 1 of 3,Creator : Himayah S.,2016,5 cited
SHAFIRA HIMAYAH,6114986,Land surface temperature changes in northen parts of bandung basin,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 1 of 2,Creator : Himayah S.,2021,0 cited
SHAFIRA HIMAYAH,6114986,"Multitemporal landsat image utilization for spatial prediction of built up area in tasikmalaya city, indonesia",Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 4 of 5,Creator : Ridwana R.,2021,0 cited
SHAFIRA HIMAYAH,6114986,Land value analysis in the suburban of Bandung and agricultural land availability impact,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 3 of 3,Creator : Somantri L.,2021,0 cited
SHAFIRA HIMAYAH,6114986,Land surface temperature analysis based on land cover variations using satellite imagery,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 1 of 3,Creator : Himayah S.,2020,0 cited
ADE SADIKIN AKHYADI,6106975,Group dynamics-based youth empowerment model in improving social entrepreneurship competence,no-Q Journal,International Journal of Recent Technology and Engineering,Author Order : 1 of 3,Creator : Akhyadi A.S.,2019,1 cited
SHAFIRA HIMAYAH,6114986,Linear Spectral Mixture Analysis Land Cover for Assessment Level Subpixel: A Case Study of Tasikmalaya City Area Based on Landsat Imagery,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 4 of 7,Creator : Ridwana R.,2019,1 cited
SHAFIRA HIMAYAH,6114986,"Participatory Mapping for Community-Based Watershed Management, Lesson Learn from Central Java and West Nusa Tenggara",Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 3 of 6,Creator : Ismail A.,2019,3 cited
SHAFIRA HIMAYAH,6114986,The Suggest of Rubber Crops Cultivation Development Zonation at West Bandung Regency,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 4 of 6,Creator : Arrasyid R.,2019,0 cited
SHAFIRA HIMAYAH,6114986,The Comparison of Stage and Result Processing of Photogrammetric Data Based on Online Cloud Processing,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 4 of 5,Creator : Ihsan M.,2019,2 cited
SHAFIRA HIMAYAH,6114986,Neighborhood Geographic Information System to prevent home robbery,Q4 Journal,Journal of Physics: Conference Series,Author Order : 4 of 4,Creator : Ihsan M.,2019,0 cited
SHAFIRA HIMAYAH,6114986,Correlation between Land Surface Temperature and Vegetation Greenness using Multi-temporal Images,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 1 of 7,Creator : Himayah S.,2019,3 cited
NUNUY NURJANAH,5983965,Video analysis of basketball throws for parabolic motion learning materials,Q4 Journal,Journal of Physics: Conference Series,Author Order : 9 of 9,Creator : Azhar T.A.N.,2021,0 cited
RUSWAN DALLYONO,6682759,A writing workshop model to enhance students’ skills in writing essays in Sundanese,Q1 Journal,Indonesian Journal of Applied Linguistics,Author Order : 0 of 0,Creator : Kuswari U.,2022,0 cited
RUSWAN DALLYONO,6682759,THE ANALYTICAL SCORING ASSESSMENT USAGE TO EXAMINE SUNDANESE STUDENTS’ PERFORMANCE IN WRITING DESCRIPTIVE TEXTS,Q2 Journal,Cakrawala Pendidikan,Author Order : 2 of 4,Creator : Koswara D.,2021,1 cited
NUNUY NURJANAH,5983965,Design of distance lectures in mathematics education with the utilization of the integration of Zoom and YouTube application,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 4,Creator : Subhi M.A.,2020,0 cited
NUNUY NURJANAH,5983965,An analysis of group formation process in statistics course with cooperative model,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 4,Creator : Kosasih U.,2020,0 cited
NUNUY NURJANAH,5983965,Regional Language Education in the Era of the Industrial Revolution Era 4.0: An Idea about Education in the Techno-pedagogy Perspective,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 4,Creator : Nurjanah N.,2020,1 cited
NUNUY NURJANAH,5983965,Analysis of students mathematical communication ability,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 3,Creator : Nurjanah N.,2019,4 cited
NUNUY NURJANAH,5983965,The development of computer adaptive test and item response theory with 4 parameters based the logistics model,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 3,Creator : Riza L.,2019,2 cited
NUNUY NURJANAH,5983965,"Derivative Uv-Spectroscopic determination of theophylline, salbutamol sulfate and glycerylguaicolate in syrup mixture",Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 5,Creator : Suryana S.,2019,0 cited
RUSWAN DALLYONO,6682759,Counter-claiming for a crime narrative: An evaluation of the defendant’s plea at the corruption criminal court,Q1 Journal,Indonesian Journal of Applied Linguistics,Author Order : 3 of 3,Creator : Hermawan R.,2021,0 cited
RUSWAN DALLYONO,6682759,Experimental demonstration for enhancing vocational students’ comprehension on heat transfer through conduction and radiation of light bulb,Q3 Journal,Journal of Technical Education and Training,Author Order : 3 of 4,Creator : Nandiyanto A.B.D.,2020,22 cited
RUSWAN DALLYONO,6682759,Character education from the perspectives of elementary school physical education teachers,Q3 Journal,Cakrawala Pendidikan,Author Order : 2 of 2,Creator : Muhtar T.,2020,4 cited
RUSWAN DALLYONO,6682759,A mathematical model of the cognitive semantics of the english preposition ON,Q2 Journal,Indonesian Journal of Science and Technology,Author Order : 1 of 3,Creator : Dallyono R.,2020,1 cited
RUSWAN DALLYONO,6682759,An analysis of multimodal resources in environmental protection posters,Q2 Journal,Indonesian Journal of Applied Linguistics,Author Order : 1 of 2,Creator : Dallyono R.,2019,0 cited
CAHYO PUJI ASMORO,6175994,"Analysis on atmospheric pressure, temperature, and wind speed profiles during total solar eclipse 9 March 2016 using time series clustering",Q3 Journal,Journal of Physics: Conference Series,Author Order : 5 of 8,Creator : Riza L.S.,2016,6 cited
CAHYO PUJI ASMORO,6175994,The analysis of the 2019 annular solar eclipse with simple instruments for developing student worksheet,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 2,Creator : Asmoro C.P.,2021,0 cited
CAHYO PUJI ASMORO,6175994,Optimization test of ipomoea batatas l. leaf extract as a flocculent in water treatment for practicum in chemical analysis of environment course,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 2 of 2,Creator : Rohana H.,2020,0 cited
CAHYO PUJI ASMORO,6175994,Monitoring of rainfall infiltration to under surface using DC resistivity method,Q4 Journal,Journal of Physics: Conference Series,Author Order : 4 of 12,Creator : Ardi N.D.,2019,0 cited
CAHYO PUJI ASMORO,6175994,The electrical properties on the plantation fires at Liang Anggang Village in the South Kalimantan in Indonesia,Q4 Journal,Journal of Physics: Conference Series,Author Order : 5 of 7,Creator : Iryanti M.,2019,0 cited
